index,bearing,latitude_geo,longitude_geo,speed_over_ground,desired_operating_speed_engine,engine_speed,fuel_delivery_pressure_sensor,fuel_pressure,fuel_rate,level_engine_coolant,load,engine_oil_filter_diff_pressure_j1939,oil_pressure,position_accelerator_pedal_1,position_engine_throttle,potential_battery_power_input_1,pressure_diff_fuel_filter,pressure_engine_coolant ,pressure_engine_crankcase,pressure_engine_inlet_air,pressure_engine_intake_manifold_1,rated_speed_engine,running_hours,temperature_ambient_air,temperature_engine_air_inlet,temperature_engine_coolant,temperature_engine_fuel_1,temperature_engine_intake_manifold_1,left_manifold_exh_gas_temperature,right_manifold_exh_gas_temperature,total_average_fuel_rate_engine,total_fuel_used_engine,transmission_1_oil_pressure,transmission_oil_temperature_1,trip_fuel_engine,acceleration_x,acceleration_y,acceleration_z,operation,year,month,day,hour,minute,second
52,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.156,93.156,84.45,34824,16,26.181818,34824,0.01756208,-0.10744272,0.00823536,0,2021,6,1,0,7,16
53,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.156,93.156,84.45,34824,16,26.181818,34824,0.01756208,-0.10744272,0.00823536,0,2021,6,1,0,7,17
54,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.156,93.156,84.45,34824,16,26.181818,34824,0.01162496,-0.10591056,-0.0009576,0,2021,6,1,0,7,26
55,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.156,93.156,84.45,34824,14.666667,25.916666,34824,0.01162496,-0.10591056,-0.0009576,0,2021,6,1,0,7,32
56,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.156,93.156,84.45,34824,14.666667,25.916666,34824,0.01430624,-0.11835936,0.01110816,0,2021,6,1,0,7,39
57,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.406,93.156,84.45,34824,14.666667,25.916666,34824,0.01430624,-0.11835936,0.01110816,0,2021,6,1,0,7,50
58,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.406,93.156,84.45,34824,14.666667,25.916666,34824,0.01832816,-0.11452896,0.01015056,0,2021,6,1,0,7,51
59,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.406,93.156,84.45,34824,14.666667,25.916666,34824,0.01832816,-0.11452896,0.01015056,0,2021,6,1,0,7,52
60,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65.083336,0,66,118.406,93.156,84.45,34824,14.666667,25.916666,34824,0.01737056,-0.11931696,0.00651168,0,2021,6,1,0,8,3
61,98.6753,50.417496,7.560418,0,650,0,0,0,0,0,0,0,0,0,0,25.65,0,0,0,0,0,0,412.35,0,0,65,0,66,118.406,93.156,84.45,34824,13.090909,26,34824,0.01737056,-0.11931696,0.00651168,0,2021,6,1,0,8,4
